Interval,cpu=0,cpu=20,cpu=40,cpu=60,cpu=80
-200,0,0,0,0,0
-190,0,0,0,0,1
-180,0,0,0,0,0
-170,0,0,0,0,1
-160,0,0,1,0,2
-150,0,0,1,1,0
-140,0,0,4,2,4
-130,0,0,10,6,2
-120,2,1,9,8,19
-110,0,1,16,10,13
-100,0,0,20,17,34
-90,1,3,29,21,40
-80,0,5,54,29,41
-70,3,6,56,44,49
-60,3,22,58,42,40
-50,7,19,76,45,66
-40,26,65,72,61,55
-30,70,103,51,63,39
-20,127,112,55,52,36
-10,149,95,38,45,33
0,127,74,23,40,28
10,72,66,12,20,23
20,41,46,8,23,18
30,39,20,7,20,15
40,16,12,8,15,9
50,6,7,6,11,7
60,5,9,4,20,6
70,6,6,3,10,8
80,2,3,2,15,10
90,1,5,1,9,7
100,2,6,3,9,6
110,2,4,3,3,2
120,1,1,3,9,9
130,0,3,0,10,6
140,1,1,3,6,5
150,0,2,2,2,3
160,0,1,0,8,7
170,0,1,6,2,4
180,0,1,2,2,7
190,0,1,4,7,1
200,0,2,3,6,5
210,0,2,0,1,3
220,0,1,4,2,3
230,0,0,3,3,1
240,0,1,2,1,3
250,0,1,2,1,3
260,0,0,2,0,0
270,0,0,2,2,4
280,0,0,5,1,2
290,0,0,4,1,2
300,0,0,2,2,2
310,0,0,2,0,2
320,0,0,0,0,4
330,0,0,0,0,1
340,0,0,4,0,2
350,0,0,1,1,0
360,0,1,1,0,1
370,0,0,1,0,1
380,0,0,0,0,0
390,0,0,4,0,2
400,0,0,0,0,0
410,0,0,0,0,3
420,0,0,2,1,1
430,0,0,1,0,1
440,0,0,0,0,1
450,0,0,0,0,0
460,0,0,1,0,2
470,0,0,1,0,0
480,0,0,1,0,1
490,0,0,1,0,0
500,0,0,2,0,0
510,0,0,0,0,0
520,0,0,0,0,0
530,0,0,2,0,0
540,0,0,1,0,0
550,0,0,0,0,0
560,0,0,0,0,1
570,0,0,0,0,0
580,0,0,1,0,0
590,0,0,0,0,0
